latitude,longitude,name,state_region,source,label
23.411595395152155,85.9777291872657,BG-jharkhand-022,jharkhand,random,0
24.71346406460787,74.53118915223614,BG-rajasthan-057,rajasthan,random,0
18.258941184515617,83.51184676229192,BG-andhra-038,andhra,random,0
23.80480077411545,73.5913104050519,BG-rajasthan-010,rajasthan,random,0
21.52,79.3,Kandri Mn Mines,Maharashtra,MRDS,1
21.75,80.05,Tirodi Mine,Madhya Pradesh,MRDS,1
23.60189974913113,74.0958744262714,BG-rajasthan-014,rajasthan,random,0
15.692207426589711,75.23074616928183,BG-karnataka-022,karnataka,random,0
18.307259359672383,83.7252462558248,BG-andhra-045,andhra,random,0
22.223345072705584,84.62164083480071,BG-odisha-033,odisha,random,0
23.054481337140576,85.95403132640705,BG-jharkhand-040,jharkhand,random,0
17.54065306951047,83.964124472014,BG-andhra-009,andhra,random,0
20.742008391736533,84.5617433425789,BG-odisha-017,odisha,random,0
18.09103038450956,83.84658797453716,BG-andhra-008,andhra,random,0
24.4395085260279,73.60064453642252,BG-rajasthan-008,rajasthan,random,0
21.578592177558917,85.82482767272494,BG-odisha-013,odisha,random,0
23.23994673947509,85.57140983685582,BG-jharkhand-046,jharkhand,random,0
24.080304445036912,73.2767481230323,BG-rajasthan-050,rajasthan,random,0
21.223104347191754,78.80429575200732,BG-mp-maharashtra-053,mp-maharashtra,random,0
23.494479475019318,74.27532287355231,BG-rajasthan-045,rajasthan,random,0
14.45,75.8,Honnali Mn Belt,Karnataka,GSI,1
23.21317459312708,73.85029238788547,BG-rajasthan-033,rajasthan,random,0
15.4,74.0,North Goa Mn Occurrences,Goa,Literature,1
21.15,79.42,Tumsar Mn Belt,Maharashtra,GSI,1
23.884319598609615,73.4274028019782,BG-rajasthan-018,rajasthan,random,0
23.55,74.45,Banswara Mn Belt,Rajasthan,GSI,1
15.223355531451901,77.46808265907876,BG-karnataka-012,karnataka,random,0
15.5,76.8,Koppal Mn Deposits,Karnataka,GSI,1
22.91442614441356,78.50978363533788,BG-mp-maharashtra-012,mp-maharashtra,random,0
21.302080585098906,84.14658849993044,BG-odisha-043,odisha,random,0
20.97600926873799,85.6724444457407,BG-odisha-023,odisha,random,0
21.386261490106914,86.15337276190458,BG-odisha-037,odisha,random,0
22.269162315528106,85.51414836725607,BG-jharkhand-014,jharkhand,random,0
14.812754779664234,76.55165377537678,BG-karnataka-037,karnataka,random,0
24.16815882840845,74.39104597299594,BG-rajasthan-056,rajasthan,random,0
21.34376327966881,84.69636286166735,BG-odisha-035,odisha,random,0
14.85537383796136,75.02417424902085,BG-karnataka-027,karnataka,random,0
24.328475369822545,73.6604000720852,BG-rajasthan-006,rajasthan,random,0
20.614330545814965,85.46044398614742,BG-odisha-051,odisha,random,0
20.693861628457647,85.07762795601595,BG-odisha-028,odisha,random,0
23.84028703554685,74.80967695668035,BG-rajasthan-055,rajasthan,random,0
21.455796551303095,78.36816389080631,BG-mp-maharashtra-021,mp-maharashtra,random,0
17.515226671658016,84.42209386666555,BG-andhra-056,andhra,random,0
17.5305700259805,83.22857351867718,BG-andhra-021,andhra,random,0
17.652851958168966,84.15872132742683,BG-andhra-033,andhra,random,0
22.801202633901497,85.77431132678326,BG-jharkhand-015,jharkhand,random,0
22.288876440177276,85.61955474125506,BG-jharkhand-007,jharkhand,random,0
21.47128225090144,84.53436824799796,BG-odisha-042,odisha,random,0
17.66214812448641,83.0385176382462,BG-andhra-028,andhra,random,0
15.96229937439652,76.34053933119681,BG-karnataka-054,karnataka,random,0
21.410016734678287,85.0575187149754,BG-odisha-046,odisha,random,0
21.75,85.6,Bamebari Mine,Odisha,IBM,1
18.535914009169783,83.96885434961143,BG-andhra-059,andhra,random,0
18.5517756254983,83.41440286363428,BG-andhra-055,andhra,random,0
22.414635281719345,86.48855672373179,BG-odisha-047,odisha,random,0
14.85,76.1,Kumsi Mn Deposits,Karnataka,MRDS,1
21.9,85.15,Champua Mn Deposits,Odisha,GSI,1
21.030113257880117,86.18108260271315,BG-odisha-011,odisha,random,0
24.309411247406143,73.92997638049403,BG-rajasthan-017,rajasthan,random,0
22.122736268326303,78.2882248255688,BG-mp-maharashtra-040,mp-maharashtra,random,0
21.600650624899696,84.1264708238122,BG-odisha-038,odisha,random,0
22.78435913540969,77.76081649788824,BG-mp-maharashtra-003,mp-maharashtra,random,0
18.068483956192395,83.04304999665513,BG-andhra-051,andhra,random,0
22.257443755646367,86.07916382340295,BG-odisha-004,odisha,random,0
15.35,76.55,Bellary Mn District,Karnataka,GSI,1
17.703549230845848,83.69254766607727,BG-andhra-010,andhra,random,0
18.12,83.42,Vizianagaram Mn Belt,Andhra Pradesh,GSI,1
23.4896850881567,73.95027268843761,BG-rajasthan-026,rajasthan,random,0
21.326804987523857,78.63836632527294,BG-mp-maharashtra-029,mp-maharashtra,random,0
22.723413800621554,79.23205643577029,BG-mp-maharashtra-019,mp-maharashtra,random,0
21.45,85.5,Noamundi Mn Zone,Odisha,MRDS,1
24.312116022223567,73.01108963627607,BG-rajasthan-031,rajasthan,random,0
23.254575598118308,73.84089266754582,BG-rajasthan-011,rajasthan,random,0
22.611638503665617,79.59441818496468,BG-mp-maharashtra-010,mp-maharashtra,random,0
23.169591073450242,74.03090401983043,BG-rajasthan-021,rajasthan,random,0
23.949348873646105,73.51838309693004,BG-rajasthan-044,rajasthan,random,0
22.8,85.95,Singhbhum Mn Belt,Jharkhand,GSI,1
15.797849273052949,75.52519134584938,BG-karnataka-034,karnataka,random,0
14.007091378175565,76.92779805754907,BG-karnataka-024,karnataka,random,0
18.53592162389947,83.94086359340157,BG-andhra-032,andhra,random,0
22.664081506028992,86.36016666582618,BG-jharkhand-030,jharkhand,random,0
20.85,86.25,Sukinda Mn Zone,Odisha,IBM,1
22.072456182909402,80.41934729193811,BG-mp-maharashtra-016,mp-maharashtra,random,0
20.902302126779393,84.77929072825223,BG-odisha-014,odisha,random,0
15.729211392439929,77.44051508232741,BG-karnataka-039,karnataka,random,0
18.475216139874814,84.17184957441634,BG-andhra-018,andhra,random,0
22.68570384037962,79.82799973463874,BG-mp-maharashtra-032,mp-maharashtra,random,0
22.409143672429845,77.63747315096698,BG-mp-maharashtra-020,mp-maharashtra,random,0
23.00338255643726,74.85115033099817,BG-rajasthan-002,rajasthan,random,0
22.114993995533286,84.4760247859047,BG-odisha-027,odisha,random,0
21.28,79.65,Bhandara Mn District,Maharashtra,IBM,1
22.618860913355654,77.51949627903419,BG-mp-maharashtra-009,mp-maharashtra,random,0
22.99507521299022,79.02857888102939,BG-mp-maharashtra-043,mp-maharashtra,random,0
24.483900155678953,74.341257008866,BG-rajasthan-004,rajasthan,random,0
15.590690998305723,75.56898871851942,BG-karnataka-049,karnataka,random,0
